ルーム,対戦者,結果
ルーム1: コンピューター82(チョキ) vs コンピューター93(チョキ) - あいこ
ルーム5: コンピューター8(グー) vs コンピューター87(チョキ) - 勝者: コンピューター8
ルーム6: コンピューター90(チョキ) vs コンピューター55(グー) - 勝者: コンピューター55
ルーム7: コンピューター62(チョキ) vs コンピューター80(チョキ) - あいこ
ルーム7: コンピューター62(パ―) vs コンピューター80(パ―) - あいこ
ルーム7: コンピューター62(グー) vs コンピューター80(パ―) - 勝者: コンピューター80
ルーム8: コンピューター98(パ―) vs コンピューター73(グー) - 勝者: コンピューター98
ルーム9: コンピューター10(チョキ) vs コンピューター20(パ―) - 勝者: コンピューター10
ルーム10: コンピューター29(グー) vs コンピューター70(グー) - あいこ
ルーム10: コンピューター29(グー) vs コンピューター70(チョキ) - 勝者: コンピューター29
ルーム11: コンピューター3(チョキ) vs コンピューター88(チョキ) - あいこ
ルーム11: コンピューター3(グー) vs コンピューター88(グー) - あいこ
ルーム11: コンピューター3(チョキ) vs コンピューター88(パ―) - 勝者: コンピューター3
ルーム12: コンピューター49(グー) vs コンピューター61(パ―) - 勝者: コンピューター61
ルーム13: コンピューター21(チョキ) vs コンピューター74(チョキ) - あいこ
ルーム13: コンピューター21(グー) vs コンピューター74(チョキ) - 勝者: コンピューター21
ルーム14: コンピューター63(チョキ) vs コンピューター67(グー) - 勝者: コンピューター67
ルーム15: コンピューター66(グー) vs コンピューター65(グー) - あいこ
ルーム15: コンピューター66(グー) vs コンピューター65(パ―) - 勝者: コンピューター65
ルーム16: コンピューター100(パ―) vs コンピューター4(チョキ) - 勝者: コンピューター4
ルーム17: コンピューター77(チョキ) vs コンピューター47(チョキ) - あいこ
ルーム17: コンピューター77(グー) vs コンピューター47(グー) - あいこ
ルーム17: コンピューター77(グー) vs コンピューター47(パ―) - 勝者: コンピューター47
ルーム18: コンピューター51(パ―) vs コンピューター44(パ―) - あいこ
ルーム18: コンピューター51(チョキ) vs コンピューター44(グー) - 勝者: コンピューター44
ルーム19: コンピューター1(パ―) vs コンピューター2(チョキ) - 勝者: コンピューター2
ルーム20: コンピューター6(チョキ) vs コンピューター12(パ―) - 勝者: コンピューター6
ルーム21: コンピューター16(チョキ) vs コンピューター32(パ―) - 勝者: コンピューター16
ルーム22: コンピューター35(パ―) vs コンピューター42(グー) - 勝者: コンピューター35
ルーム23: コンピューター45(パ―) vs コンピューター52(パ―) - あいこ
ルーム23: コンピューター45(グー) vs コンピューター52(パ―) - 勝者: コンピューター52
ルーム24: コンピューター54(グー) vs コンピューター56(グー) - あいこ
ルーム24: コンピューター54(チョキ) vs コンピューター56(パ―) - 勝者: コンピューター54
ルーム25: コンピューター57(チョキ) vs コンピューター58(グー) - 勝者: コンピューター58
ルーム26: コンピューター59(パ―) vs コンピューター60(グー) - 勝者: コンピューター59
ルーム27: コンピューター68(パ―) vs コンピューター69(パ―) - あいこ
ルーム27: コンピューター68(パ―) vs コンピューター69(パ―) - あいこ
ルーム27: コンピューター68(パ―) vs コンピューター69(チョキ) - 勝者: コンピューター69
ルーム28: コンピューター75(パ―) vs コンピューター76(グー) - 勝者: コンピューター75
ルーム29: コンピューター78(グー) vs コンピューター81(グー) - あいこ
ルーム29: コンピューター78(チョキ) vs コンピューター81(チョキ) - あいこ
ルーム29: コンピューター78(パ―) vs コンピューター81(チョキ) - 勝者: コンピューター81
ルーム30: コンピューター84(グー) vs コンピューター86(チョキ) - 勝者: コンピューター84
ルーム31: コンピューター92(チョキ) vs コンピューター95(チョキ) - あいこ
ルーム31: コンピューター92(グー) vs コンピューター95(グー) - あいこ
ルーム31: コンピューター92(チョキ) vs コンピューター95(パ―) - 勝者: コンピューター92
ルーム32: コンピューター97(グー) vs コンピューター99(グー) - あいこ
ルーム32: コンピューター97(チョキ) vs コンピューター99(パ―) - 勝者: コンピューター97
ルーム1: コンピューター46(グー) vs コンピューター39(グー) - あいこ
ルーム1: コンピューター46(パ―) vs コンピューター39(パ―) - あいこ
ルーム1: コンピューター46(パ―) vs コンピューター39(グー) - 勝者: コンピューター46
ルーム2: コンピューター94(パ―) vs コンピューター19(チョキ) - 勝者: コンピューター19
ルーム3: コンピューター8(グー) vs コンピューター55(グー) - あいこ
ルーム3: コンピューター8(チョキ) vs コンピューター55(グー) - 勝者: コンピューター55
ルーム4: コンピューター80(パ―) vs コンピューター98(パ―) - あいこ
ルーム4: コンピューター80(パ―) vs コンピューター98(パ―) - あいこ
ルーム4: コンピューター80(チョキ) vs コンピューター98(パ―) - 勝者: コンピューター80
ルーム5: コンピューター10(チョキ) vs コンピューター29(グー) - 勝者: コンピューター29
ルーム6: コンピューター3(チョキ) vs コンピューター61(パ―) - 勝者: コンピューター3
ルーム7: コンピューター21(グー) vs コンピューター67(グー) - あいこ
ルーム7: コンピューター21(パ―) vs コンピューター67(グー) - 勝者: コンピューター21
ルーム8: コンピューター65(パ―) vs コンピューター4(チョキ) - 勝者: コンピューター4
ルーム9: コンピューター47(パ―) vs コンピューター44(グー) - 勝者: コンピューター47
ルーム10: コンピューター2(チョキ) vs コンピューター6(チョキ) - あいこ
ルーム10: コンピューター2(グー) vs コンピューター6(パ―) - 勝者: コンピューター6
ルーム11: コンピューター16(チョキ) vs コンピューター35(パ―) - 勝者: コンピューター16
ルーム12: コンピューター52(パ―) vs コンピューター54(チョキ) - 勝者: コンピューター54
ルーム13: コンピューター58(グー) vs コンピューター59(パ―) - 勝者: コンピューター59
ルーム14: コンピューター69(チョキ) vs コンピューター75(パ―) - 勝者: コンピューター69
ルーム15: コンピューター81(チョキ) vs コンピューター84(グー) - 勝者: コンピューター84
ルーム16: コンピューター92(チョキ) vs コンピューター97(チョキ) - あいこ
ルーム16: コンピューター92(グー) vs コンピューター97(パ―) - 勝者: コンピューター97
ルーム1: コンピューター46(パ―) vs コンピューター19(チョキ) - 勝者: コンピューター19
ルーム2: コンピューター55(グー) vs コンピューター80(チョキ) - 勝者: コンピューター55
ルーム3: コンピューター29(グー) vs コンピューター3(チョキ) - 勝者: コンピューター29
ルーム4: コンピューター21(パ―) vs コンピューター4(チョキ) - 勝者: コンピューター4
ルーム5: コンピューター47(パ―) vs コンピューター6(パ―) - あいこ
ルーム5: コンピューター47(パ―) vs コンピューター6(パ―) - あいこ
ルーム5: コンピューター47(チョキ) vs コンピューター6(チョキ) - あいこ
ルーム5: コンピューター47(チョキ) vs コンピューター6(グー) - 勝者: コンピューター6
ルーム6: コンピューター16(チョキ) vs コンピューター54(チョキ) - あいこ
ルーム6: コンピューター16(パ―) vs コンピューター54(チョキ) - 勝者: コンピューター54
ルーム7: コンピューター59(パ―) vs コンピューター69(チョキ) - 勝者: コンピューター69
ルーム8: コンピューター84(グー) vs コンピューター97(パ―) - 勝者: コンピューター97
ルーム1: コンピューター19(チョキ) vs コンピューター55(グー) - 勝者: コンピューター55
ルーム2: コンピューター29(グー) vs コンピューター4(チョキ) - 勝者: コンピューター29
ルーム3: コンピューター6(グー) vs コンピューター54(チョキ) - 勝者: コンピューター6
ルーム4: コンピューター69(チョキ) vs コンピューター97(パ―) - 勝者: コンピューター69
ルーム1: コンピューター55(グー) vs コンピューター29(グー) - あいこ
ルーム1: コンピューター55(パ―) vs コンピューター29(チョキ) - 勝者: コンピューター29
ルーム2: コンピューター6(グー) vs コンピューター69(チョキ) - 勝者: コンピューター6
ルーム1: コンピューター29(チョキ) vs コンピューター6(グー) - 勝者: コンピューター6
ルーム1: コンピューター22(チョキ) vs コンピューター62(グー) - 勝者: コンピューター62
ルーム2: コンピューター49(チョキ) vs コンピューター87(パ―) - 勝者: コンピューター49
ルーム3: コンピューター7(チョキ) vs コンピューター86(グー) - 勝者: コンピューター86
ルーム4: コンピューター59(チョキ) vs コンピューター89(グー) - 勝者: コンピューター89
ルーム5: コンピューター98(グー) vs コンピューター69(グー) - あいこ
ルーム5: コンピューター98(グー) vs コンピューター69(グー) - あいこ
ルーム5: コンピューター98(グー) vs コンピューター69(チョキ) - 勝者: コンピューター98
ルーム6: コンピューター34(グー) vs コンピューター68(チョキ) - 勝者: コンピューター34
ルーム7: コンピューター8(グー) vs コンピューター40(パ―) - 勝者: コンピューター40
ルーム8: コンピューター65(グー) vs コンピューター2(グー) - あいこ
ルーム8: コンピューター65(チョキ) vs コンピューター2(パ―) - 勝者: コンピューター65
ルーム9: コンピューター61(パ―) vs コンピューター42(チョキ) - 勝者: コンピューター42
ルーム10: コンピューター4(チョキ) vs コンピューター14(グー) - 勝者: コンピューター14
ルーム11: コンピューター20(チョキ) vs コンピューター10(パ―) - 勝者: コンピューター20
ルーム12: コンピューター51(チョキ) vs コンピューター79(パ―) - 勝者: コンピューター51
ルーム13: コンピューター99(グー) vs コンピューター53(パ―) - 勝者: コンピューター53
ルーム14: コンピューター64(グー) vs コンピューター63(グー) - あいこ
ルーム14: コンピューター64(グー) vs コンピューター63(チョキ) - 勝者: コンピューター64
ルーム15: コンピューター76(パ―) vs コンピューター84(パ―) - あいこ
ルーム15: コンピューター76(パ―) vs コンピューター84(チョキ) - 勝者: コンピューター84
ルーム16: コンピューター88(チョキ) vs コンピューター67(パ―) - 勝者: コンピューター88
ルーム17: コンピューター15(チョキ) vs コンピューター77(チョキ) - あいこ
ルーム17: コンピューター15(グー) vs コンピューター77(グー) - あいこ
ルーム17: コンピューター15(グー) vs コンピューター77(グー) - あいこ
ルーム17: コンピューター15(チョキ) vs コンピューター77(チョキ) - あいこ
ルーム17: コンピューター15(チョキ) vs コンピューター77(チョキ) - あいこ
ルーム17: コンピューター15(チョキ) vs コンピューター77(グー) - 勝者: コンピューター77
ルーム18: コンピューター93(パ―) vs コンピューター44(パ―) - あいこ
ルーム18: コンピューター93(パ―) vs コンピューター44(グー) - 勝者: コンピューター93
ルーム19: コンピューター26(グー) vs コンピューター75(グー) - あいこ
ルーム19: コンピューター26(チョキ) vs コンピューター75(パ―) - 勝者: コンピューター26
ルーム20: コンピューター52(パ―) vs コンピューター82(チョキ) - 勝者: コンピューター82
ルーム21: コンピューター91(チョキ) vs コンピューター32(チョキ) - あいこ
ルーム21: コンピューター91(グー) vs コンピューター32(チョキ) - 勝者: コンピューター91
ルーム22: コンピューター74(パ―) vs コンピューター54(パ―) - あいこ
ルーム22: コンピューター74(グー) vs コンピューター54(グー) - あいこ
ルーム22: コンピューター74(グー) vs コンピューター54(パ―) - 勝者: コンピューター54
ルーム23: コンピューター85(チョキ) vs コンピューター95(グー) - 勝者: コンピューター95
ルーム24: コンピューター81(グー) vs コンピューター78(パ―) - 勝者: コンピューター78
ルーム25: コンピューター46(パ―) vs コンピューター23(チョキ) - 勝者: コンピューター23
ルーム26: コンピューター9(チョキ) vs コンピューター12(チョキ) - あいこ
ルーム26: コンピューター9(チョキ) vs コンピューター12(パ―) - 勝者: コンピューター9
ルーム27: コンピューター70(チョキ) vs コンピューター60(パ―) - 勝者: コンピューター70
ルーム28: コンピューター97(パ―) vs コンピューター31(チョキ) - 勝者: コンピューター31
ルーム29: コンピューター96(グー) vs コンピューター56(チョキ) - 勝者: コンピューター96
ルーム30: コンピューター73(グー) vs コンピューター33(グー) - あいこ
ルーム30: コンピューター73(チョキ) vs コンピューター33(チョキ) - あいこ
ルーム30: コンピューター73(グー) vs コンピューター33(チョキ) - 勝者: コンピューター73
ルーム31: コンピューター45(パ―) vs コンピューター47(チョキ) - 勝者: コンピューター47
ルーム32: コンピューター1(パ―) vs コンピューター48(グー) - 勝者: コンピューター1
ルーム33: コンピューター28(グー) vs コンピューター25(パ―) - 勝者: コンピューター25
ルーム34: コンピューター27(グー) vs コンピューター66(チョキ) - 勝者: コンピューター27
ルーム35: コンピューター58(パ―) vs コンピューター6(グー) - 勝者: コンピューター58
ルーム36: コンピューター50(グー) vs コンピューター37(グー) - あいこ
ルーム36: コンピューター50(チョキ) vs コンピューター37(パ―) - 勝者: コンピューター50
ルーム1: コンピューター62(グー) vs コンピューター49(チョキ) - 勝者: コンピューター62
ルーム2: コンピューター86(グー) vs コンピューター89(グー) - あいこ
ルーム2: コンピューター86(グー) vs コンピューター89(グー) - あいこ
ルーム2: コンピューター86(グー) vs コンピューター89(チョキ) - 勝者: コンピューター86
ルーム3: コンピューター98(グー) vs コンピューター34(グー) - あいこ
ルーム3: コンピューター98(グー) vs コンピューター34(パ―) - 勝者: コンピューター34
ルーム4: コンピューター40(パ―) vs コンピューター65(チョキ) - 勝者: コンピューター65
ルーム5: コンピューター42(チョキ) vs コンピューター14(グー) - 勝者: コンピューター14
ルーム6: コンピューター20(チョキ) vs コンピューター51(チョキ) - あいこ
ルーム6: コンピューター20(チョキ) vs コンピューター51(パ―) - 勝者: コンピューター20
ルーム7: コンピューター53(パ―) vs コンピューター64(グー) - 勝者: コンピューター53
ルーム8: コンピューター84(チョキ) vs コンピューター88(チョキ) - あいこ
ルーム8: コンピューター84(パ―) vs コンピューター88(チョキ) - 勝者: コンピューター88
ルーム9: コンピューター77(グー) vs コンピューター93(パ―) - 勝者: コンピューター93
ルーム10: コンピューター26(チョキ) vs コンピューター82(チョキ) - あいこ
ルーム10: コンピューター26(パ―) vs コンピューター82(グー) - 勝者: コンピューター26
ルーム11: コンピューター91(グー) vs コンピューター54(パ―) - 勝者: コンピューター54
ルーム12: コンピューター95(グー) vs コンピューター78(パ―) - 勝者: コンピューター78
ルーム13: コンピューター23(チョキ) vs コンピューター9(チョキ) - あいこ
ルーム13: コンピューター23(チョキ) vs コンピューター9(パ―) - 勝者: コンピューター23
ルーム14: コンピューター70(チョキ) vs コンピューター31(チョキ) - あいこ
ルーム14: コンピューター70(グー) vs コンピューター31(グー) - あいこ
ルーム14: コンピューター70(グー) vs コンピューター31(グー) - あいこ
ルーム14: コンピューター70(グー) vs コンピューター31(チョキ) - 勝者: コンピューター70
ルーム15: コンピューター96(グー) vs コンピューター73(グー) - あいこ
ルーム15: コンピューター96(チョキ) vs コンピューター73(グー) - 勝者: コンピューター73
ルーム16: コンピューター47(チョキ) vs コンピューター1(パ―) - 勝者: コンピューター47
ルーム17: コンピューター25(パ―) vs コンピューター27(グー) - 勝者: コンピューター25
ルーム18: コンピューター58(パ―) vs コンピューター50(チョキ) - 勝者: コンピューター50
ルーム19: コンピューター3(チョキ) vs コンピューター5(グー) - 勝者: コンピューター5
ルーム20: コンピューター11(チョキ) vs コンピューター13(パ―) - 勝者: コンピューター11
ルーム21: コンピューター16(チョキ) vs コンピューター17(チョキ) - あいこ
ルーム21: コンピューター16(グー) vs コンピューター17(グー) - あいこ
ルーム21: コンピューター16(グー) vs コンピューター17(チョキ) - 勝者: コンピューター16
ルーム22: コンピューター18(チョキ) vs コンピューター19(チョキ) - あいこ
ルーム22: コンピューター18(チョキ) vs コンピューター19(グー) - 勝者: コンピューター19
ルーム23: コンピューター21(チョキ) vs コンピューター24(パ―) - 勝者: コンピューター21
ルーム24: コンピューター29(チョキ) vs コンピューター30(パ―) - 勝者: コンピューター29
ルーム25: コンピューター35(グー) vs コンピューター36(チョキ) - 勝者: コンピューター35
ルーム26: コンピューター38(パ―) vs コンピューター39(パ―) - あいこ
ルーム26: コンピューター38(グー) vs コンピューター39(グー) - あいこ
ルーム26: コンピューター38(グー) vs コンピューター39(チョキ) - 勝者: コンピューター38
ルーム27: コンピューター41(パ―) vs コンピューター43(グー) - 勝者: コンピューター41
ルーム28: コンピューター55(チョキ) vs コンピューター57(グー) - 勝者: コンピューター57
ルーム29: コンピューター71(チョキ) vs コンピューター72(チョキ) - あいこ
ルーム29: コンピューター71(チョキ) vs コンピューター72(グー) - 勝者: コンピューター72
ルーム30: コンピューター80(パ―) vs コンピューター83(チョキ) - 勝者: コンピューター83
ルーム31: コンピューター90(グー) vs コンピューター92(パ―) - 勝者: コンピューター92
ルーム32: コンピューター94(グー) vs コンピューター100(グー) - あいこ
ルーム32: コンピューター94(パ―) vs コンピューター100(パ―) - あいこ
ルーム32: コンピューター94(パ―) vs コンピューター100(チョキ) - 勝者: コンピューター100
ルーム1: コンピューター62(グー) vs コンピューター86(グー) - あいこ
ルーム1: コンピューター62(パ―) vs コンピューター86(グー) - 勝者: コンピューター62
ルーム2: コンピューター34(パ―) vs コンピューター65(チョキ) - 勝者: コンピューター65
ルーム3: コンピューター14(グー) vs コンピューター20(チョキ) - 勝者: コンピューター14
ルーム4: コンピューター53(パ―) vs コンピューター88(チョキ) - 勝者: コンピューター88
ルーム5: コンピューター93(パ―) vs コンピューター26(パ―) - あいこ
ルーム5: コンピューター93(パ―) vs コンピューター26(チョキ) - 勝者: コンピューター26
ルーム6: コンピューター54(パ―) vs コンピューター78(パ―) - あいこ
ルーム6: コンピューター54(チョキ) vs コンピューター78(パ―) - 勝者: コンピューター54
ルーム7: コンピューター23(チョキ) vs コンピューター70(グー) - 勝者: コンピューター70
ルーム8: コンピューター73(グー) vs コンピューター47(チョキ) - 勝者: コンピューター73
ルーム9: コンピューター25(パ―) vs コンピューター50(チョキ) - 勝者: コンピューター50
ルーム10: コンピューター5(グー) vs コンピューター11(チョキ) - 勝者: コンピューター5
ルーム11: コンピューター16(グー) vs コンピューター19(グー) - あいこ
ルーム11: コンピューター16(チョキ) vs コンピューター19(チョキ) - あいこ
ルーム11: コンピューター16(パ―) vs コンピューター19(パ―) - あいこ
ルーム11: コンピューター16(パ―) vs コンピューター19(チョキ) - 勝者: コンピューター19
ルーム12: コンピューター21(チョキ) vs コンピューター29(チョキ) - あいこ
ルーム12: コンピューター21(グー) vs コンピューター29(グー) - あいこ
ルーム12: コンピューター21(チョキ) vs コンピューター29(チョキ) - あいこ
ルーム12: コンピューター21(グー) vs コンピューター29(チョキ) - 勝者: コンピューター21
ルーム13: コンピューター35(グー) vs コンピューター38(グー) - あいこ
ルーム13: コンピューター35(グー) vs コンピューター38(パ―) - 勝者: コンピューター38
ルーム14: コンピューター41(パ―) vs コンピューター57(グー) - 勝者: コンピューター41
ルーム15: コンピューター72(グー) vs コンピューター83(チョキ) - 勝者: コンピューター72
ルーム16: コンピューター92(パ―) vs コンピューター100(チョキ) - 勝者: コンピューター100
ルーム1: コンピューター62(パ―) vs コンピューター65(チョキ) - 勝者: コンピューター65
ルーム2: コンピューター14(グー) vs コンピューター88(チョキ) - 勝者: コンピューター14
ルーム3: コンピューター26(チョキ) vs コンピューター54(チョキ) - あいこ
ルーム3: コンピューター26(チョキ) vs コンピューター54(チョキ) - あいこ
ルーム3: コンピューター26(グー) vs コンピューター54(パ―) - 勝者: コンピューター54
ルーム4: コンピューター70(グー) vs コンピューター73(グー) - あいこ
ルーム4: コンピューター70(グー) vs コンピューター73(パ―) - 勝者: コンピューター73
ルーム5: コンピューター50(チョキ) vs コンピューター5(グー) - 勝者: コンピューター5
ルーム6: コンピューター19(チョキ) vs コンピューター21(グー) - 勝者: コンピューター21
ルーム7: コンピューター38(パ―) vs コンピューター41(パ―) - あいこ
ルーム7: コンピューター38(グー) vs コンピューター41(グー) - あいこ
ルーム7: コンピューター38(チョキ) vs コンピューター41(チョキ) - あいこ
ルーム7: コンピューター38(パ―) vs コンピューター41(チョキ) - 勝者: コンピューター41
ルーム8: コンピューター72(グー) vs コンピューター100(チョキ) - 勝者: コンピューター72
ルーム1: コンピューター65(チョキ) vs コンピューター14(グー) - 勝者: コンピューター14
ルーム2: コンピューター54(パ―) vs コンピューター73(パ―) - あいこ
ルーム2: コンピューター54(チョキ) vs コンピューター73(パ―) - 勝者: コンピューター54
ルーム3: コンピューター5(グー) vs コンピューター21(グー) - あいこ
ルーム3: コンピューター5(グー) vs コンピューター21(パ―) - 勝者: コンピューター21
ルーム4: コンピューター41(チョキ) vs コンピューター72(グー) - 勝者: コンピューター72
ルーム1: コンピューター14(グー) vs コンピューター54(チョキ) - 勝者: コンピューター14
ルーム2: コンピューター21(パ―) vs コンピューター72(グー) - 勝者: コンピューター21
ルーム1: コンピューター14(グー) vs コンピューター21(パ―) - 勝者: コンピューター21
ルーム1: コンピューター23(チョキ) vs コンピューター59(グー) - 勝者: コンピューター59
ルーム2: コンピューター61(チョキ) vs コンピューター4(パ―) - 勝者: コンピューター61
ルーム3: コンピューター42(チョキ) vs コンピューター73(チョキ) - あいこ
ルーム3: コンピューター42(グー) vs コンピューター73(パ―) - 勝者: コンピューター73
ルーム4: コンピューター96(グー) vs コンピューター57(グー) - あいこ
ルーム4: コンピューター96(パ―) vs コンピューター57(パ―) - あいこ
ルーム4: コンピューター96(パ―) vs コンピューター57(グー) - 勝者: コンピューター96
ルーム5: コンピューター15(チョキ) vs コンピューター49(チョキ) - あいこ
ルーム5: コンピューター15(チョキ) vs コンピューター49(パ―) - 勝者: コンピューター15
ルーム6: コンピューター88(チョキ) vs コンピューター19(パ―) - 勝者: コンピューター88
ルーム7: コンピューター10(パ―) vs コンピューター43(パ―) - あいこ
ルーム7: コンピューター10(グー) vs コンピューター43(パ―) - 勝者: コンピューター43
ルーム8: コンピューター31(チョキ) vs コンピューター37(グー) - 勝者: コンピューター37
ルーム9: コンピューター71(グー) vs コンピューター45(グー) - あいこ
ルーム9: コンピューター71(チョキ) vs コンピューター45(チョキ) - あいこ
ルーム9: コンピューター71(パ―) vs コンピューター45(チョキ) - 勝者: コンピューター45
ルーム10: コンピューター7(グー) vs コンピューター97(パ―) - 勝者: コンピューター97
ルーム11: コンピューター5(パ―) vs コンピューター74(グー) - 勝者: コンピューター5
ルーム12: コンピューター16(パ―) vs コンピューター52(グー) - 勝者: コンピューター16
ルーム13: コンピューター83(チョキ) vs コンピューター78(パ―) - 勝者: コンピューター83
ルーム14: コンピューター84(チョキ) vs コンピューター67(パ―) - 勝者: コンピューター84
ルーム15: コンピューター81(グー) vs コンピューター50(パ―) - 勝者: コンピューター50
ルーム16: コンピューター98(パ―) vs コンピューター40(グー) - 勝者: コンピューター98
ルーム17: コンピューター56(チョキ) vs コンピューター66(パ―) - 勝者: コンピューター56
ルーム18: コンピューター63(チョキ) vs コンピューター94(グー) - 勝者: コンピューター94
ルーム19: コンピューター38(チョキ) vs コンピューター18(パ―) - 勝者: コンピューター38
ルーム20: コンピューター58(グー) vs コンピューター17(チョキ) - 勝者: コンピューター58
ルーム21: コンピューター70(パ―) vs コンピューター90(チョキ) - 勝者: コンピューター90
ルーム22: コンピューター85(グー) vs コンピューター82(チョキ) - 勝者: コンピューター85
ルーム23: コンピューター47(パ―) vs コンピューター95(グー) - 勝者: コンピューター47
ルーム24: コンピューター30(グー) vs コンピューター14(パ―) - 勝者: コンピューター14
ルーム25: コンピューター76(パ―) vs コンピューター28(チョキ) - 勝者: コンピューター28
ルーム26: コンピューター36(グー) vs コンピューター86(グー) - あいこ
ルーム26: コンピューター36(グー) vs コンピューター86(グー) - あいこ
ルーム26: コンピューター36(パ―) vs コンピューター86(パ―) - あいこ
ルーム26: コンピューター36(グー) vs コンピューター86(チョキ) - 勝者: コンピューター36
ルーム27: コンピューター24(チョキ) vs コンピューター53(チョキ) - あいこ
ルーム27: コンピューター24(チョキ) vs コンピューター53(パ―) - 勝者: コンピューター24
ルーム28: コンピューター8(パ―) vs コンピューター46(チョキ) - 勝者: コンピューター46
ルーム29: コンピューター21(パ―) vs コンピューター35(グー) - 勝者: コンピューター21
ルーム30: コンピューター20(チョキ) vs コンピューター69(チョキ) - あいこ
ルーム30: コンピューター20(チョキ) vs コンピューター69(パ―) - 勝者: コンピューター20
ルーム31: コンピューター27(グー) vs コンピューター32(チョキ) - 勝者: コンピューター27
ルーム32: コンピューター99(グー) vs コンピューター51(グー) - あいこ
ルーム32: コンピューター99(グー) vs コンピューター51(グー) - あいこ
ルーム32: コンピューター99(パ―) vs コンピューター51(チョキ) - 勝者: コンピューター51
ルーム33: コンピューター80(パ―) vs コンピューター22(チョキ) - 勝者: コンピューター22
ルーム34: コンピューター39(パ―) vs コンピューター55(パ―) - あいこ
ルーム34: コンピューター39(チョキ) vs コンピューター55(グー) - 勝者: コンピューター55
ルーム35: コンピューター1(チョキ) vs コンピューター68(チョキ) - あいこ
ルーム35: コンピューター1(パ―) vs コンピューター68(チョキ) - 勝者: コンピューター68
ルーム36: コンピューター72(グー) vs コンピューター87(チョキ) - 勝者: コンピューター72
ルーム1: コンピューター59(グー) vs コンピューター61(チョキ) - 勝者: コンピューター59
ルーム2: コンピューター73(パ―) vs コンピューター96(パ―) - あいこ
ルーム2: コンピューター73(パ―) vs コンピューター96(グー) - 勝者: コンピューター73
ルーム3: コンピューター15(チョキ) vs コンピューター88(チョキ) - あいこ
ルーム3: コンピューター15(パ―) vs コンピューター88(グー) - 勝者: コンピューター15
ルーム4: コンピューター43(パ―) vs コンピューター37(グー) - 勝者: コンピューター43
ルーム5: コンピューター45(チョキ) vs コンピューター97(パ―) - 勝者: コンピューター45
ルーム6: コンピューター5(パ―) vs コンピューター16(パ―) - あいこ
ルーム6: コンピューター5(パ―) vs コンピューター16(パ―) - あいこ
ルーム6: コンピューター5(チョキ) vs コンピューター16(チョキ) - あいこ
ルーム6: コンピューター5(パ―) vs コンピューター16(チョキ) - 勝者: コンピューター16
ルーム7: コンピューター83(チョキ) vs コンピューター84(チョキ) - あいこ
ルーム7: コンピューター83(パ―) vs コンピューター84(チョキ) - 勝者: コンピューター84
ルーム8: コンピューター50(パ―) vs コンピューター98(パ―) - あいこ
ルーム8: コンピューター50(グー) vs コンピューター98(パ―) - 勝者: コンピューター98
ルーム9: コンピューター56(チョキ) vs コンピューター94(グー) - 勝者: コンピューター94
ルーム10: コンピューター38(チョキ) vs コンピューター58(グー) - 勝者: コンピューター58
ルーム11: コンピューター90(チョキ) vs コンピューター85(グー) - 勝者: コンピューター85
ルーム12: コンピューター47(パ―) vs コンピューター14(パ―) - あいこ
ルーム12: コンピューター47(パ―) vs コンピューター14(パ―) - あいこ
ルーム12: コンピューター47(パ―) vs コンピューター14(パ―) - あいこ
ルーム12: コンピューター47(チョキ) vs コンピューター14(チョキ) - あいこ
ルーム12: コンピューター47(チョキ) vs コンピューター14(チョキ) - あいこ
ルーム12: コンピューター47(グー) vs コンピューター14(チョキ) - 勝者: コンピューター47
ルーム13: コンピューター28(チョキ) vs コンピューター36(グー) - 勝者: コンピューター36
ルーム14: コンピューター24(チョキ) vs コンピューター46(チョキ) - あいこ
ルーム14: コンピューター24(パ―) vs コンピューター46(パ―) - あいこ
ルーム14: コンピューター24(グー) vs コンピューター46(グー) - あいこ
ルーム14: コンピューター24(グー) vs コンピューター46(グー) - あいこ
ルーム14: コンピューター24(グー) vs コンピューター46(チョキ) - 勝者: コンピューター24
ルーム15: コンピューター21(パ―) vs コンピューター20(チョキ) - 勝者: コンピューター20
ルーム16: コンピューター27(グー) vs コンピューター51(チョキ) - 勝者: コンピューター27
ルーム17: コンピューター22(チョキ) vs コンピューター55(グー) - 勝者: コンピューター55
ルーム18: コンピューター68(チョキ) vs コンピューター72(グー) - 勝者: コンピューター72
ルーム19: コンピューター2(チョキ) vs コンピューター3(チョキ) - あいこ
ルーム19: コンピューター2(チョキ) vs コンピューター3(グー) - 勝者: コンピューター3
ルーム20: コンピューター6(グー) vs コンピューター9(グー) - あいこ
ルーム20: コンピューター6(パ―) vs コンピューター9(グー) - 勝者: コンピューター6
ルーム21: コンピューター11(チョキ) vs コンピューター12(パ―) - 勝者: コンピューター11
ルーム22: コンピューター13(チョキ) vs コンピューター25(グー) - 勝者: コンピューター25
ルーム23: コンピューター26(チョキ) vs コンピューター29(パ―) - 勝者: コンピューター26
ルーム24: コンピューター33(グー) vs コンピューター34(パ―) - 勝者: コンピューター34
ルーム25: コンピューター41(チョキ) vs コンピューター44(パ―) - 勝者: コンピューター41
ルーム26: コンピューター48(チョキ) vs コンピューター54(チョキ) - あいこ
ルーム26: コンピューター48(パ―) vs コンピューター54(グー) - 勝者: コンピューター48
ルーム27: コンピューター60(グー) vs コンピューター62(パ―) - 勝者: コンピューター62
